,open,high,low,close,volume,ratio,absolute,avg_ratio
2012-01-03,28.94,29.5,27.65,28.08,928100,-2.971665514858338,-0.860000000000003,0.06401334440858086
2012-01-04,28.21,28.67,27.5,27.71,630100,-1.772421127259837,-0.5,0.06401334440858086
2012-01-05,27.76,27.93,26.85,27.12,1005500,-2.3054755043227684,-0.6400000000000006,0.06401334440858086
2012-01-06,27.2,27.79,26.41,26.91,986300,-1.0661764705882322,-0.28999999999999915,0.06401334440858086
2012-01-09,27.0,27.49,26.12,27.25,897000,0.9259259259259259,0.25,0.06401334440858086
2012-01-10,27.44,27.76,27.25,27.62,671800,0.6559766763848386,0.17999999999999972,0.06401334440858086
2012-01-11,27.62,28.38,27.3,28.23,672300,2.208544532947138,0.6099999999999994,0.06401334440858086
2012-01-12,28.48,28.62,27.805,28.25,729300,-0.8075842696629228,-0.23000000000000043,0.06401334440858086
2012-01-13,28.4,28.5,22.64,22.79,5500400,-19.753521126760564,-5.609999999999999,0.06401334440858086
2012-01-17,26.62,27.34,26.41,26.6,4651600,-0.07513148009015617,-0.019999999999999574,0.06401334440858086
2012-01-18,26.69,26.88,26.25,26.81,1260200,0.4496065942300391,0.11999999999999744,0.06401334440858086
2012-01-19,27.19,27.74,26.61,26.76,1246300,-1.5814637734461188,-0.4299999999999997,0.06401334440858086
2012-01-20,26.9,27.0,26.4,26.6,662300,-1.115241635687722,-0.29999999999999716,0.06401334440858086
2012-01-23,26.81,27.21,26.6,26.77,594600,-0.1491980604252113,-0.03999999999999915,0.06401334440858086
2012-01-24,26.63,27.68,26.4399,27.42,858000,2.9665790461885195,0.7900000000000027,0.06401334440858086
2012-01-25,27.27,28.01,27.05,27.97,611200,2.566923359002564,0.6999999999999993,0.06401334440858086
2012-01-26,28.07,29.58,28.0,28.94,1271100,3.0993943712148235,0.870000000000001,0.06401334440858086
2012-01-27,28.5,29.72,28.5,29.33,748400,2.91228070175438,0.8299999999999983,0.06401334440858086
2012-01-30,29.49,29.61,28.529,29.57,729000,0.27127839945744947,0.08000000000000185,0.06401334440858086
2012-01-31,29.9,30.0,28.87,29.07,956400,-2.775919732441466,-0.8299999999999983,0.06401334440858086
2012-02-01,29.07,29.7,29.0,29.58,523200,1.754385964912274,0.509999999999998,0.06401334440858086
2012-02-02,29.72,30.88,29.605,30.25,805700,1.7833109017496673,0.5300000000000011,0.06401334440858086
2012-02-03,30.41,31.33,30.25,31.15,764500,2.4334100624794424,0.7399999999999984,0.06401334440858086
2012-02-06,31.1,31.9,31.05,31.8,652100,2.250803858520898,0.6999999999999993,0.06401334440858086
2012-02-07,31.8,31.8,30.82,31.6,1021600,-0.6289308176100606,-0.1999999999999993,0.06401334440858086
2012-02-08,31.6,32.01,31.29,31.93,623700,1.044303797468349,0.3299999999999983,0.06401334440858086
2012-02-09,32.0,32.9,31.43,32.58,1277100,1.8124999999999947,0.5799999999999983,0.06401334440858086
2012-02-10,32.26,32.2695,29.84,31.1,1874200,-3.5957842529448127,-1.1599999999999966,0.06401334440858086
2012-02-13,31.55,32.06,30.9,31.49,1157900,-0.1901743264659343,-0.060000000000002274,0.06401334440858086
2012-02-14,31.74,33.79,31.4,33.17,1810800,4.505356017643363,1.4300000000000033,0.06401334440858086
2012-02-15,33.1,34.41,32.27,33.6,2761800,1.510574018126888,0.5,0.06401334440858086
2012-02-16,33.5,34.51,32.54,34.18,2219700,2.029850746268656,0.6799999999999997,0.06401334440858086
2012-02-17,33.99,34.97,33.5,34.97,1376700,2.8832009414533593,0.9799999999999969,0.06401334440858086
2012-02-21,34.87,34.87,33.81,34.5,1135800,-1.0610840263837036,-0.36999999999999744,0.06401334440858086
2012-02-22,34.5,34.72,32.5,34.22,1654600,-0.811594202898554,-0.28000000000000114,0.06401334440858086
2012-02-23,33.86,34.97,33.56,34.53,820400,1.9787359716479673,0.6700000000000017,0.06401334440858086
2012-02-24,34.23,34.52,33.27,33.75,959900,-1.4022787028921908,-0.4799999999999969,0.06401334440858086
2012-02-27,33.41,34.0,33.0,33.62,606000,0.6285543250523822,0.21000000000000085,0.06401334440858086
2012-02-28,33.64,34.44,33.17,33.81,612200,0.5053507728894224,0.1700000000000017,0.06401334440858086
2012-02-29,33.81,34.12,33.14,33.41,535700,-1.18308192842356,-0.4000000000000057,0.06401334440858086
2012-03-01,33.51,34.5,33.305,34.41,703500,2.685765443151294,0.8999999999999986,0.06401334440858086
2012-03-02,34.4,34.5,33.71,34.04,550000,-1.046511627906975,-0.35999999999999943,0.06401334440858086
2012-03-05,34.35,34.4,33.46,33.77,467000,-1.6885007278020328,-0.5799999999999983,0.06401334440858086
2012-03-06,33.25,33.28,32.62,33.11,573800,-0.42105263157894907,-0.14000000000000057,0.06401334440858086
2012-03-07,33.12,33.315,32.9105,33.12,364900,0.0,0.0,0.06401334440858086
2012-03-08,33.11,33.49,33.04,33.07,633300,-0.12080942313500195,-0.03999999999999915,0.06401334440858086
2012-03-09,33.2,35.31,33.2,34.74,1553400,4.638554216867467,1.5399999999999991,0.06401334440858086
2012-03-12,34.69,36.29,34.6,36.01,1963300,3.8051311617180756,1.3200000000000003,0.06401334440858086
2012-03-13,36.51,36.59,35.5,36.09,1001600,-1.150369761709106,-0.4199999999999946,0.06401334440858086
2012-03-14,36.0,36.0,34.8,35.29,851500,-1.9722222222222245,-0.7100000000000009,0.06401334440858086
2012-03-15,35.28,35.48,34.78,35.0,571600,-0.7936507936507968,-0.28000000000000114,0.06401334440858086
2012-03-16,34.9,35.89,34.83,35.32,729300,1.2034383954154777,0.4200000000000017,0.06401334440858086
2012-03-19,35.26,35.32,34.54,34.98,1015600,-0.7941009642654598,-0.28000000000000114,0.06401334440858086
2012-03-20,34.98,35.2,34.57,34.96,567000,-0.05717552887363071,-0.01999999999999602,0.06401334440858086
2012-03-21,34.94,35.3,34.6,35.15,607200,0.6010303377218112,0.21000000000000085,0.06401334440858086
2012-03-22,34.97,35.15,34.3,34.4,522400,-1.6299685444666865,-0.5700000000000003,0.06401334440858086
